IRSZ;CíMHELY NEVE;JELLEGE;VÁROSRÉSZ;1.SZÁM;1.JEL;2.SZÁM;2.JEL
9012;Aba Sámuel                    ;út;Ménfõcsanak;0;;0;
9012;Achilles;park;;0;;0;
9025;Achim András                  ;utca;;0;;0;
9026;Ady Endre                     ;utca;;0;;0;
9011;Áfonya;út;Gyõrszentiván;0;;0;
9025;Akác                          ;tér;;0;;0;
9025;Akác                          ;utca;;0;;0;
9011;Akácos;út;Gyõrszentiván;0;;0;
9011;Ákom Lajos;utca;;0;;0;
9026;Áldozat                       ;utca;;0;;0;
9028;Alkonyat;utca;;0;;0;
9012;Állomás;út;;0;;0;
9024;Alma;utca;;0;;0;
9027;Almafa;út;;0;;0;
9023;Álmos                         ;utca;;0;;0;
9022;Álom                          ;köz;;0;;0;
9025;Alpár                         ;utca;;0;;0;
9011;Alpesi;út;;0;;0;
9028;Alsókert;utca;;0;;0;
9021;Amadé László                  ;utca;;0;;0;
9011;Andrásvári                    ;út;Gyõrszentiván;0;;0;
9022;Apáca                         ;utca;;0;;0;
9030;Apály                         ;utca;;0;;0;
9021;Apor Vilmos püspök            ;tere;;0;;0;
9021;Aradi vértanúk                ;útja;;0;;0;
9028;Aranka;utca;;0;;0;
9021;Arany János                   ;utca;;0;;0;
9024;Aranyesõ;utca;;0;;0;
9024;Aranyhal;utca;;0;;0;
9029;Aranyhomok                    ;utca;;0;;0;
9011;Aranyos                       ;út;Gyõrszentiván;0;;0;
9028;Arató                         ;utca;;0;;0;
9030;Árkoskert                     ;utca;;0;;0;
9029;Árnika;utca;;0;;0;
9011;Árnyas                        ;köz;Gyõrszentiván;0;;0;
9011;Árnyas                        ;utca;Gyõrszentiván;0;;0;
9012;Árpa;utca;;0;;0;
9021;Árpád                         ;út;;1;;47;
9021;Árpád                         ;út;;2;;36;
9022;Árpád                         ;út;;-3;;0;
9024;Articsóka;utca;;0;;0;
9025;Árvaház                       ;utca;;0;;0;
9011;Árvalányhaj                   ;út;Gyõrszentiván;0;;0;
9026;Árvíz                         ;utca;;0;;0;
9030;Asbóth Sándor                 ;utca;;0;;0;
9025;Átló;utca;;0;;0;
9023;Attila                        ;utca;;0;;0;
9011;Auer Lipót;utca;;0;;0;
9028;Aulich                        ;utca;;0;;0;
9028;Auróra                        ;utca;;0;;0;
9011;Avar;utca;Gyõrszentiván;0;;0;
9024;Babits Mihály                 ;utca;;0;;0;
9026;Bácsai                        ;út;;0;;0;
9028;Bagoly;utca;;0;;0;
9021;Bajcsy-Zsilinszky             ;út;;1;;35;
9021;Bajcsy-Zsilinszky             ;út;;2;;42;
9022;Bajcsy-Zsilinszky             ;út;;-3;;0;
9028;Bajnok                        ;utca;;0;;0;
9027;Bajza                         ;utca;;0;;0;
9024;Bakonyi;út;;0;;0;
9025;Bakter;utca;;0;;0;
9027;Balassi Bálint                ;utca;;0;;0;
9025;Bálint Mihály                 ;utca;;0;;0;
9028;Balogh Ádám                   ;utca;;0;;0;
9029;Bálvány                       ;utca;;0;;0;
9023;Bán Aladár                    ;utca;;0;;0;
9028;Banai                         ;út;;0;;0;
9011;Barackos;út;Gyõrszentiván;0;;0;
9011;Bárányréti                    ;út;Gyõrszentiván;0;;0;
9024;Baráti;út;;0;;0;
9028;Barátság;utca;;0;;0;
9023;Bárczi Gusztáv                ;utca;;0;;0;
9026;Barka;sor;;0;;0;
9021;Baross Gábor                  ;út;;1;;37;
9021;Baross Gábor                  ;út;;2;;38;
9024;Baross Gábor                  ;út;;-3;;0;
9029;Bársonyka;utca;;0;;0;
9028;Bársonyvirág;utca;;0;;0;
9023;Bartók Béla;út;;-1;;0;
9024;Bartók Béla;út;;-2;;0;
9022;Bástya                        ;utca;;0;;0;
9026;Báthori                       ;út;;0;;0;
9026;Báthori                       ;köz;;0;;0;
9022;Batthyány                     ;tér;;0;;0;
9025;Bécsi                         ;út;;0;;0;
9021;Bécsi kapu                    ;tér;;0;;0;
9025;Beér                          ;köz;;0;;0;
9025;Béke                          ;utca;;0;;0;
9022;Belváros                      ;köz;;0;;0;
9024;Bem                   ;tér;;0;;0;
9021;Benczúr                       ;utca;;0;;0;
9029;Benedek Elek                  ;utca;;0;;0;
9025;Bercsényi                     ;liget;;0;;0;
9027;Berkenyefa;sor;;0;;0;
9027;Berzsenyi Dániel              ;utca;;0;;0;
9025;Bethlen István;tér;;0;;0;
9012;Bezerédj                    ;út;Ménfõcsanak;0;;0;
9028;Bianka;utca;;0;;0;
9029;Bíbor;utca;;0;;0;
9030;Bierbauer Lipót;utca;;0;;0;
9025;Birkás                        ;köz;;0;;0;
9022;Bisinger  József                    ;sétány;;0;;0;
9023;Blaha Lujza                   ;utca;;0;;0;
9024;Bocskai                       ;utca;;0;;0;
9024;Bodócs István;utca;;0;;0;
9029;Bodzás                        ;utca;;0;;0;
9011;Bogáncs;utca;Gyõrszentiván;0;;0;
9029;Boglárka                      ;utca;;0;;0;
9025;Bokréta                       ;utca;;0;;0;
9030;Bokros;sétány;;0;;0;
9028;Boldizsár;utca;;0;;0;
9027;Bólyai Farkas                 ;utca;;0;;0;
9028;Bornemissza                   ;utca;;0;;0;
9011;Boróka;út;Gyõrszentiván;0;;0;
9028;Boros;utca;;0;;0;
9026;Borostyán;sétány;;0;;0;
9028;Borostyánkõ;utca;;0;;0;
9028;Borsóhelyi                    ;dûlõ;;0;;0;
9024;Borsos Miklós                 ;utca;;0;;0;
9025;Botond                        ;utca;;0;;0;
9025;Botos Lõrinc                  ;utca;;0;;0;
9028;Brassói;utca;;0;;0;
9025;Brigád                        ;utca;;0;;0;
9023;Buda                          ;utca;;0;;0;
9027;Budai                         ;út;;0;;0;
9025;Budai Nagy Antal              ;utca;;0;;0;
9023;Bulcsú                       ;utca;;0;;0;
9025;Burcsellás                    ;köz;;0;;0;
9027;Bútorgyári                    ;utca;;0;;0;
9028;Búzakalász                    ;utca;;0;;0;
9028;Búzamezõ;utca;;0;;0;
9011;Búzavirág                     ;utca;Gyõrszentiván;0;;0;
9025;Bükk                          ;utca;;0;;0;
9027;Bükkfa;út;;0;;0;
9012;Cédrus;utca;Ménfõcsanak;0;;0;
9026;Ciklámen                      ;utca;;0;;0;
9030;Cinege;utca;;0;;0;
9025;Cinka Panna                   ;utca;;0;;0;
9023;Cirkeli                       ;út;;0;;0;
9023;Corvin                        ;utca;;0;;0;
9023;Csaba                         ;utca;;0;;0;
9027;Család                        ;utca;;0;;0;
9029;Csalogány                     ;utca;;0;;0;
9012;Csanakhegyi                   ;út;Ménfõcsanak;0;;0;
9012;Csanaki                       ;utca;Ménfõcsanak;0;;0;
9027;Csavargyár                    ;utca;;0;;0;
9029;Csemete                       ;utca;;0;;0;
9028;Csendes;utca;;0;;0;
9028;Csengõ;utca;;0;;0;
9025;Cser                          ;utca;;0;;0;
9024;Cseresznye;utca;;0;;0;
9012;Cseresznyés;utca;Ménfõcsanak;0;;0;
9030;Csíkostó;út;;0;;0;
9021;Csillag                       ;utca;;0;;0;
9029;Csillagfürt;utca;;0;;0;
9025;Csipkegyári                   ;út;;0;;0;
9029;Csipkerózsika;utca;;0;;0;
9027;Csókás;utca;;0;;0;
9024;Csokonai                      ;utca;;0;;0;
9026;Csónakos;utca;;0;;0;
9030;Csonkaér                      ;út;;0;;0;
9012;Csontváry                     ;utca;Ménfõcsanak;0;;0;
9028;Csortos Gyula;utca;;0;;0;
9027;Csörgõfa;sor;;0;;0;
9029;Csutora                       ;utca;;0;;0;
9024;Cuha                          ;utca;;0;;0;
9025;Cukrász                       ;köz;;0;;0;
9025;Cziráky                       ;tér;;0;;0;
9022;Czuczor Gergely               ;utca;;0;;0;
9028;Dalos;utca;;0;;0;
9026;Damjanich                     ;utca;;0;;0;
9025;Dankó Pista                   ;tér;;0;;0;
9027;Debrecen                      ;utca;;0;;0;
9025;Dél                           ;utca;;0;;0;
9024;Dembinszky                    ;utca;;0;;0;
9024;Déry Tibor                    ;utca;;0;;0;
9011;Déryné                        ;út;Gyõrszentiván;0;;0;
9012;Derûsdomb;utca;;0;;0;
9024;Dessewffy            ;utca;;0;;0;
9011;Diák                          ;út;Gyõrszentiván;0;;0;
9030;Dinnyés                       ;utca;;0;;0;
9025;Diós;utca;;0;;0;
9024;Diófa;utca;;0;;0;
9028;Dobó                          ;utca;;0;;0;
9027;Dohány;utca;;0;;0;
9028;Dohánypajta;utca;;0;;0;
9021;Domb                          ;utca;;0;;0;
9028;Dombalja;utca;;0;;0;
9029;Dombhát                       ;utca;;0;;0;
9011;Dózsa             ;major;;0;;0;
9025;Dózsa;sor;;0;;0;
9026;Dózsa György                  ;rakpart;;0;;0;
9030;Dr. Éllõ Lajos;utca;;0;;0;
9021;Dr. Kovács Pál;utca;;0;;0;
9024;Dr. Petz Lajos;utca;;0;;0;
9025;Dr. Róth Emil;utca;;0;;0;
9012;Dr. Schweitzer Albert;utca;;0;;0;
9012;Dr. Szirányi Miklós;utca;Ménfõcsanak;0;;0;
9012;Dr. Torda István;utca;;0;;0;
9024;Dugonics                      ;utca;;0;;0;
9026;Duna                          ;utca;;0;;0;
9022;Dunakapu                      ;tér;;0;;0;
9011;Dunasor;út;Gyõrszentiván;0;;0;
9025;Ecet                          ;utca;;0;;0;
9012;Ecker János                   ;utca;Ménfõcsanak;0;;0;
9027;Égerfa;utca;;0;;0;
9030;Egres                ;köz;;0;;0;
9011;Egressy Béni                  ;út;Gyõrszentiván;0;;0;
9027;Egyenlõség                    ;utca;;0;;0;
9026;Egyetem;tér;;0;;0;
9011;Egysori                       ;út;Gyõrszentiván;0;;0;
9024;Eõrsy Péter                   ;utca;;0;;0;
9021;Eötvös                        ;tér;;0;;0;
9012;Eper;út;Ménfõcsanak;0;;0;
9025;Eper;utca;;0;;0;
9012;Epres;utca;;0;;0;
9019;Erdei                         ;út;Gyirmót;0;;0;
9028;Erdélyi;utca;;0;;0;
9025;Erdész                        ;utca;;0;;0;
9011;Erdõsor;;;0;;0;
9028;Erdõszél;utca;;0;;0;
9011;Erdõtelep                     ;telep;Gyõrszentiván;0;;0;
9025;Erdõtelep                     ;utca;;0;;0;
9028;Erfurti                       ;út;;0;;0;
9030;Ergényi                       ;utca;;0;;0;
9025;Erkel Ferenc                  ;utca;;0;;0;
9028;Estike;utca;;0;;0;
9025;Esze Tamás                    ;utca;;0;;0;
9023;Eszperantó                    ;út;;20;;42;
9024;Eszperantó                    ;út;;2;;18;
9027;Esztergetõ                    ;utca;;0;;0;
9024;Éva;utca;;0;;0;
9026;Evezõs;utca;;0;;0;
9011;Ezerjó                        ;út;Gyõrszentiván;0;;0;
9028;Ezüst;utca;;0;;0;
9028;Fácán;utca;;0;;0;
9028;Fagyal;utca;;0;;0;
9028;Farkas Márton                 ;utca;;0;;0;
9024;Fasor;utca;;0;;0;
9022;Fazekas                       ;köz;;0;;0;
9025;Fazekas-vermek;;;0;;0;
9011;Fecske;út;;0;;0;
9030;Fecske;utca;;0;;0;
9024;Fehérakác;utca;;0;;0;
9023;Fehérlaposi                   ;dûlõ;;0;;0;
9023;Fehérvári;dûlõ;;0;;0;
9027;Fehérvári                     ;út;;1;;3/3;
9023;Fehérvári                     ;út;;5/B;;51;
9023;Fehérvári                     ;út;;2;;42;
9028;Fehérvári                     ;út;;-3;;0;
9011;Fehérvári-úti;kertek;;0;;0;
9028;Felsõkert;utca;;0;;0;
9012;Fekete István                 ;utca;Ménfõcsanak;0;;0;
9011;Felüljáró                     ;út;Gyõrszentiván;0;;0;
9028;Fényes;utca;;0;;0;
9011;Fenyõ                         ;utca;Gyõrszentiván;0;;0;
9030;Fenyõszer                     ;utca;;0;;0;
9011;Fenyvessor;;;0;;0;
9025;Festõ                         ;utca;;0;;0;
9024;Fészek;utca;;0;;0;
9012;Forráskút                     ;utca;Ménfõcsanak;0;;0;
9025;Fõ                            ;utca;;0;;0;
9023;Földes Gábor                  ;utca;;0;;0;
9028;Frangepáni;utca;;0;;0;
9029;Frézia;utca;;0;;0;
9028;Fuvaros                       ;utca;;0;;0;
9024;Függvény                      ;utca;;0;;0;
9030;Fülemüle;utca;;0;;0;
9022;Fürdõ                         ;köz;;0;;0;
9030;Füzes                         ;utca;;0;;0;
9028;Gábor Áron                    ;utca;;0;;0;
9011;Galagonya;utca;Gyõrszentiván;0;;0;
9024;Galamb                        ;utca;;0;;0;
9026;Galántai                      ;utca;;0;;0;
9012;Galgóczi Erzsébet;utca;Ménfõcsanak;0;;0;
9012;Garan János;utca;Ménfõcsanak;0;;0;
9022;Gárdonyi Géza                 ;utca;;0;;0;
9029;Gát                           ;utca;;0;;0;
9028;Gazda;utca;;0;;0;
9026;Gébics;utca;;0;;0;
9025;Gerbera;utca;;0;;0;
9024;Gerence                       ;út;;0;;0;
9012;Gergely Béla;utca;Ménfõcsanak;0;;0;
9019;Gerle                         ;utca;Gyirmót;0;;0;
9027;Gesztenyefa;út;;0;;0;
9011;Gólyarét                      ;utca;Gyõrszentiván;0;;0;
9024;Gomba                         ;utca;;0;;0;
9027;Gömb                          ;utca;;0;;0;
9026;Gömör                         ;utca;;0;;0;
9024;Gulyás István;utca;;0;;0;
9028;Gurdony                       ;utca;;0;;0;
9021;Gutenberg                     ;tér;;0;;0;
9029;Gyékényes;köz;;0;;0;
9025;Gyepszél                      ;utca;;0;;0;
9019;Gyirmóti                      ;út;Gyirmót;0;;0;
9022;Gyógyszertár                  ;utca;;0;;0;
9025;Gyógyszertár                  ;köz;;0;;0;
9027;Gyóni Géza;sétány;Városrét;0;;0;
9028;Gyopár                        ;utca;;0;;0;
9026;Gyöngy                        ;utca;;0;;0;
9030;Gyöngyszem                    ;utca;;0;;0;
9024;Gyöngyvesszõ;utca;;0;;0;
9028;Gyöngyvirág                   ;utca;;0;;0;
9012;Gyõri                         ;út;Ménfõcsanak;0;;0;
9011;Gyõri                         ;tanya;;0;;0;
9012;Gyõzelem                      ;utca;Ménfõcsanak;0;;0;
9026;Gyümölcs                      ;utca;;0;;0;
9025;Gyûrû;utca;;0;;0;
9024;Hajdú                         ;utca;;0;;0;
9027;Hajléktalanszállás;;;0;;0;
9012;Hajnal                        ;utca;Ménfõcsanak;0;;0;
9012;Hajnalcsillag                 ;utca;Ménfõcsanak;0;;0;
9025;Hajós Alfréd;utca;;0;;0;
9022;Hal                           ;köz;;0;;0;
9025;Haladás                       ;utca;;0;;0;
9025;Halász                        ;utca;;0;;0;
9012;Halász Ödön;utca;Ménfõcsanak;0;;0;
9030;Hargitta                      ;utca;;0;;0;
9025;Harmat;utca;;0;;0;
9012;Hármashatár                   ;út;Ménfõcsanak;0;;0;
9025;Hársfa                        ;utca;;0;;0;
9019;Határ;út;Gyirmót;0;;0;
9019;Határ;köz;Gyirmót;0;;0;
9011;Határõr;utca;;0;;0;
9024;Hatkert;utca;;0;;0;
9026;Hattyú;utca;;0;;0;
9027;Hecse                         ;puszta;;0;;0;
9026;Hédervári                     ;út;;0;;0;
9012;Hegy;utca;;0;;0;
9012;Hegyalja                      ;utca;Ménfõcsanak;0;;0;
9012;Hegymester                    ;utca;Ménfõcsanak;0;;0;
9028;Hegytetõ;utca;;0;;0;
9030;Heltai Jenõ                   ;utca;;0;;0;
9011;Hérics;út;Gyõrszentiván;0;;0;
9023;Herman Ottó                   ;utca;;-3;;0;
9024;Herman Ottó                   ;utca;;1;;9;
9024;Herman Ottó                   ;utca;;2;;8;
9025;Híd                           ;utca;;0;;0;
9028;Hídalja;utca;;0;;0;
9022;Hó                            ;köz;;0;;0;
9024;Hold                          ;utca;;0;;0;
9028;Holdfény;utca;;0;;0;
9024;Holenda Barnabás;utca;;0;;0;
9028;Holló;utca;;0;;0;
9025;Holt-Duna                     ;körút;;0;;0;
9027;Homokbánya;út;;0;;0;
9011;Homoksori                     ;út;Gyõrszentiván;0;;0;
9026;Honfi                         ;utca;;0;;0;
9011;Honfoglalás                   ;utca;Gyõrszentiván;0;;0;
9024;Honleány                      ;utca;;0;;0;
9021;Honvéd                        ;liget;;0;;0;
9024;Honvéd                        ;utca;;0;;0;
9028;Hordós;utca;;0;;0;
9012;Horgas                        ;utca;Ménfõcsanak;0;;0;
9019;Horgásztanya;;;0;;0;
9029;Hortenzia;utca;;0;;0;
9024;Horváth Árpád;utca;;0;;0;
9012;Hóvirág                       ;utca;Ménfõcsanak;0;;0;
9024;Hullám;utca;;0;;0;
9025;Hungária ;utca;;0;;0;
9024;Hunyadi                       ;utca;;0;;0;
9011;Huszka Jenõ;utca;;0;;0;
9027;Hûtõház;;;0;;0;
9027;Hûtõház;utca;;0;;0;
9026;Ibolya                        ;utca;;0;;0;
9023;Ifjúság                       ;körút;;0;;0;
9023;Íjász                         ;utca;;0;;0;
9028;Iker;utca;;0;;0;
9024;Ikva                          ;utca;;0;;0;
9024;Illyés Gyula                  ;utca;;0;;0;
9025;Imaház                        ;utca;;0;;0;
9023;Ipar                          ;utca;;-3;;0;
9027;Ipar                          ;utca;;1;;61;
9027;Ipar                          ;utca;;2;;50;
9025;Irányi Dániel                 ;utca;;0;;0;
9026;Irinyi János                  ;utca;;0;;0;
9029;Írisz;utca;;0;;0;
9028;Isaszeg                       ;utca;;0;;0;
9022;Iskola                        ;utca;;0;;0;
9030;István király                 ;út;;0;;0;
9025;Iszkápa                       ;köz;;0;;0;
9011;Ivánháza                      ;puszta;Gyõrszentiván;0;;0;
9027;Íves;utca;;0;;0;
9024;Jácint;utca;;0;;0;
9028;Jáki;utca;;0;;0;
9025;Jakobinus                     ;utca;;0;;0;
9030;Jászai Mari                   ;utca;;0;;0;
9025;Jávor Pál;utca;;0;;0;
9024;Jázmin;utca;;0;;0;
9022;Jedlik Ányos;utca;;0;;0;
9030;Jegenyefa                     ;sor;;0;;0;
9028;Jégvirág;utca;;0;;0;
9028;Jereváni                      ;út;;0;;0;
9011;Jogar;utca;Gyõrszentiván;0;;0;
9021;Jókai                         ;utca;;0;;0;
9024;Jósika                        ;utca;;0;;0;
9028;József Attila                 ;utca;;0;;0;
9028;József nádor;park;;0;;0;
9027;Juharfa;út;;0;;0;
9023;Kacagány                      ;utca;;0;;0;
9026;Kagyló;utca;;0;;0;
9028;Kakashegy                     ;utca;;0;;0;
9028;Kakashegyi;dûlõ;;0;;0;
9011;Kalács;utca;;0;;0;
9029;Kalapács                      ;utca;;0;;0;
9028;Kalász;utca;;0;;0;
9011;Kálmán Imre                   ;út;Gyõrszentiván;0;;0;
9026;Kálóczy                       ;tér;;0;;0;
9026;Kálóczy téri;csónakházak;;0;;0;
9024;Kálvária                      ;utca;;0;;0;
9025;Kálvinista                    ;utca;;0;;0;
9025;Kámán                         ;utca;;0;;0;
9029;Kamilla;utca;;0;;0;
9027;Kandó                         ;utca;;0;;0;
9012;Kanizsai Orsolya;utca;Ménfõcsanak;0;;0;
9022;Káposztás                     ;köz;;0;;0;
9021;Káptalandomb                  ;;;0;;0;
9026;Kárász                        ;utca;;0;;0;
9011;Kard;utca;Gyõrszentiván;0;;0;
9027;Kardán;utca;;0;;0;
9029;Karikás Frigyes               ;utca;;0;;0;
9030;Karinthy Frigyes              ;utca;;0;;0;
9011;Károlyháza;;;0;;0;
9028;Kárpát                        ;utca;;0;;0;
9023;Kartács                       ;utca;;0;;0;
9023;Kassák Lajos                  ;utca;;0;;0;
9024;Katód;utca;;0;;0;
9023;Katona József                 ;utca;;0;;0;
9025;Kazamata                      ;utca;;0;;0;
9021;Kazinczy                      ;utca;;0;;0;
9027;Kelta                         ;utca;;0;;0;
9025;Kemény Ferenc;sétány;;0;;0;
9024;Kéményseprõ;utca;;0;;0;
9030;Kenderáztató                  ;utca;;0;;0;
9011;Kenderes                      ;út;Gyõrszentiván;0;;0;
9019;Kenderföldi                   ;út;Gyirmót;0;;0;
9026;Kenus;utca;;0;;0;
9022;Kenyér                        ;köz;;0;;0;
9027;Kenyérgyár;;;0;;0;
9030;Kereknád                      ;utca;;0;;0;
9012;Keréktó;utca;;0;;0;
9025;Kereszt                       ;utca;;0;;0;
9024;Kert                          ;utca;;0;;0;
9011;Kertaljai                     ;utca;Gyõrszentiván;0;;0;
9028;Kertes;utca;;0;;0;
9026;Kertész                       ;utca;;0;;0;
9028;Keskeny;utca;;0;;0;
9011;Kicsi                         ;út;Gyõrszentiván;0;;0;
9025;Kígyó                         ;utca;;0;;0;
9030;Kinizsi Pál                   ;utca;;0;;0;
9021;Király                        ;utca;;0;;0;
9012;Királyszék                    ;út;Ménfõcsanak;0;;0;
9028;Király-hágó;utca;;0;;0;
9025;Kis                           ;utca;;0;;0;
9028;Kisdiófa                      ;utca;;0;;0;
9012;Kisdobos                      ;utca;Ménfõcsanak;0;;0;
9021;Kisfaludy                     ;utca;;1;;31;
9021;Kisfaludy                     ;utca;;2;;30;
9022;Kisfaludy                     ;utca;;-3;;0;
9011;Kishegy                   ;;Gyõrszentiván;0;;0;
9011;Kishegyi;út;;0;;0;
9025;Kishosszúvölgy                ;;;0;;0;
9024;Kiskert;út;;0;;0;
9027;Kiskúti                        ;liget;;0;;0;
9027;Kiskúti                        ;vízmû;;0;;0;
9027;Kiskúti                       ;út;;0;;0;
9028;Kismegyeri                    ;út;;0;;0;
9028;Kismegyeri                    ;õrház;;0;;0;
9028;Kismegyeri                    ;vasútállomás;;0;;0;
9030;Kismezõ                       ;utca;;0;;0;
9025;Kispásztor                    ;utca;;0;;0;
9012;Kisrét;utca;;0;;0;
9012;Kiss Angyal Ernõ;utca;;0;;0;
9025;Kiss Ernõ                     ;utca;;0;;0;
9022;Kiss János                    ;utca;;0;;0;
9011;Kisvasúti                     ;utca;Gyõrszentiván;0;;0;
9027;Klapka                        ;utca;;0;;0;
9025;Knézich                       ;utca;;0;;0;
9029;Kócsa Ferenc                  ;utca;;0;;0;
9026;Kócsag;utca;;0;;0;
9023;Kodály Zoltán                 ;utca;;0;;0;
9012;Koltói Anna                   ;utca;Ménfõcsanak;0;;0;
9012;Komlóvölgyi                   ;út;Ménfõcsanak;0;;0;
9028;Konini                        ;út;;0;;0;
9028;Kopja                         ;utca;;0;;0;
9028;Koppány                       ;utca;;0;;0;
9025;Korányi Frigyes               ;tér;;0;;0;
9025;Korbonits                     ;utca;;0;;0;
9026;Kormorán;utca;;0;;0;
9024;Kormos István                 ;utca;;0;;0;
9027;Koroknay Gyula;utca;;0;;0;
9011;Korona;út;Gyõrszentiván;0;;0;
9012;Koroncói                      ;út;Ménfõcsanak;0;;0;
9025;Kossuth Lajos                 ;utca;;0;;0;
9029;Kosztolányi Dezsõ             ;utca;;0;;0;
9024;Kovács Margit                 ;utca;;0;;0;
9027;Kölcsey                       ;utca;;0;;0;
9011;Kör                           ;tér;Gyõrszentiván;0;;0;
9027;Kõrisfa;utca;;0;;0;
9023;Körkemence                    ;utca;;0;;0;
9028;Köröskényi;utca;;0;;0;
9026;Körte                         ;utca;;0;;0;
9026;Körtöltés                     ;utca;;0;;0;
9027;Kövecses                      ;utca;;0;;0;
9028;Köves;utca;;0;;0;
9012;Kõvirág                       ;utca;Ménfõcsanak;0;;0;
9029;Kövirózsa;utca;;0;;0;
9024;Közép                         ;utca;;0;;0;
9026;Közép                         ;dûlõ;;0;;0;
9025;Köztelek                      ;utca;;0;;0;
9026;Községház                     ;utca;;0;;0;
